movie_id,movie_title
847,No Love for Johnnie
848,The Servant
849,Guns at Batasi
850,Far from the Madding Crowd
851,Last Tango in Paris
852,The Last Detail
853,Bugsy Malone
854,Chaplin
855,I Swear
856,Golden Helmet
857,The Divided Heart
858,A Town Like Alice
859,The Prince and the Showgirl
860,A Taste of Honey
861,A Kind of Loving
862,In Harms Way
863,Two for the Road
864,Three into Two Won't Go
865,"Mary, Queen of Scots"
866,The Hireling
867,Don't Look Now
868,The French Lieutenant's Woman
869,Prick Up Your Ears
870,The Grifters
871,Mrs. Brown
872,Girl with a Pearl Earring
873,Changeling
874,The Young Victoria
875,My Week with Marilyn
876,Pirates of the Caribbean: The Curse of the Black Pearl
877,Nell
878,Away from Her
879,Doubt
880,The Wife
881,The Talented Mr. Ripley
882,Adaptation.
883,Murder in the First
884,To Die For
885,Mulholland Drive
886,The Wrestler
887,Spencer
888,Amistad
889,A Simple Plan
890,The Crucible
891,In & Out
892,Pleasantville
893,"Girl, Interrupted"
894,Junebug
